Time,Resistance(Ohm)
17:35:53.471,Short Circuit (0 ohm)
17:35:53.973,Short Circuit (0 ohm)
17:35:54.475,Short Circuit (0 ohm)
17:35:54.977,Short Circuit (0 ohm)
17:35:55.479,Short Circuit (0 ohm)
17:35:55.982,Short Circuit (0 ohm)
17:35:56.484,Short Circuit (0 ohm)
17:35:56.986,Short Circuit (0 ohm)
17:35:57.488,Short Circuit (0 ohm)
17:35:57.991,Short Circuit (0 ohm)
17:35:58.493,Short Circuit (0 ohm)
17:35:58.995,Short Circuit (0 ohm)
17:35:59.497,Short Circuit (0 ohm)
17:35:59.999,Short Circuit (0 ohm)
17:36:00.501,Short Circuit (0 ohm)
17:36:01.003,Short Circuit (0 ohm)
17:36:01.505,Short Circuit (0 ohm)
17:36:02.007,Short Circuit (0 ohm)
17:36:02.509,Short Circuit (0 ohm)
17:36:03.011,Short Circuit (0 ohm)
17:36:03.514,Short Circuit (0 ohm)
17:36:04.021,Short Circuit (0 ohm)
17:36:04.518,Short Circuit (0 ohm)
17:36:05.020,Short Circuit (0 ohm)
17:36:05.522,Short Circuit (0 ohm)
17:36:06.024,Short Circuit (0 ohm)
17:36:06.526,Short Circuit (0 ohm)
17:36:07.028,Short Circuit (0 ohm)
17:36:07.530,Short Circuit (0 ohm)
17:36:08.032,Short Circuit (0 ohm)
17:36:08.534,Short Circuit (0 ohm)
17:36:09.036,Short Circuit (0 ohm)
17:36:09.538,Short Circuit (0 ohm)
17:36:10.041,Short Circuit (0 ohm)
17:36:10.543,Short Circuit (0 ohm)
17:36:11.045,Short Circuit (0 ohm)
17:36:11.547,Short Circuit (0 ohm)
17:36:12.049,Short Circuit (0 ohm)
17:36:12.551,Short Circuit (0 ohm)
17:36:13.054,Short Circuit (0 ohm)
17:36:13.556,Short Circuit (0 ohm)
17:36:14.058,Short Circuit (0 ohm)
17:36:14.560,Short Circuit (0 ohm)
17:36:15.062,Short Circuit (0 ohm)
17:36:15.564,Short Circuit (0 ohm)
17:36:16.067,Short Circuit (0 ohm)
17:36:16.569,Short Circuit (0 ohm)
17:36:17.071,Short Circuit (0 ohm)
17:36:17.573,Short Circuit (0 ohm)
17:36:18.075,Short Circuit (0 ohm)
17:36:18.578,Short Circuit (0 ohm)
17:36:19.080,Short Circuit (0 ohm)
17:36:19.582,Short Circuit (0 ohm)
17:36:20.084,Short Circuit (0 ohm)
17:36:20.586,Short Circuit (0 ohm)
17:36:21.089,Short Circuit (0 ohm)
17:36:21.591,Short Circuit (0 ohm)
17:36:22.093,Short Circuit (0 ohm)
17:36:22.595,Short Circuit (0 ohm)
17:36:23.097,Short Circuit (0 ohm)
17:36:23.599,Short Circuit (0 ohm)
17:36:24.101,Short Circuit (0 ohm)
17:36:24.604,Short Circuit (0 ohm)
17:36:25.106,Short Circuit (0 ohm)
